word,lemma_old,POS_old,IC_old,English,Animate,Innapropriate,Derivational,Potentially_Use,Other_POS,Span_Dic_Freq,Verb_Frequency,Adj_Frequency,Other_Freq,Regional_Use,Regional_dont_use,Use,log_freq,stim_list,lemma_new,POS_new,IC_new
partido,partido,n,NC_O,"political party, sports game, advantage/benefit",,,,1,Adj,3563242,,1,,,,0,,1,partido,n,nc_o
pasa,paso,n,NC_O,Raisin,,,,1,Adj/V,45905,1,1,,,,0,,1,paso,n,nc_o
pasa,paso,n,NC_O,Raisin,,,,1,Adj/V,45905,1,1,,,,0,,1,pasa,nfs,nc_a
paso,paso,nms    ,NC_O,"pace, step, passage",,,,1,Adj/V,1486233,1,1,,,,0,,1,paso,nms,nc_o
paso,paso,nms    ,NC_O,"pace, step, passage",,,,1,Adj/V,1486233,1,1,,,,0,,1,paso,n,nc_o
pasta,pasta,nfs    ,NC_A,"pasta, (SP) money",,,,1,V,66693,1,,,,,0,,1,pasta,nfs,nc_a
pasta,pasta,nfs    ,NC_A,"pasta, (SP) money",,,,1,V,66693,1,,,,,0,,1,pasta,n,nc_a
pasto,pasto,n,NC_O,"pasture, lawn, grass, Pashto (Language)",,,,1,V,51528,1,,,,,0,,1,pasto,nms,nc_o
pasto,pasto,n,NC_O,"pasture, lawn, grass, Pashto (Language)",,,,1,V,51528,1,,,,,0,,1,pasto,n,nc_o
pela,pela,nfs    ,NC_A,"hit, beating",,,,1,V,4419,1,,,,,0,,1,pela,nfs,nc_a
