word,wordID_set,lemma,POS,Inflection_Class,Meaning,Animacy,Innapropriate?,Derivational Morpheme?,Potential,
hijo,"{27259, 218615, 40654, 130391}",hijo,nms    ,NC_O,child,1,,,,
hna,{120484},hna,n,NC_A,?,,,,,
hno,{92966},hermano,n,NC_O,?,,,,,
hoja,"{120672, 800176, 50958}",hoja,nfs    ,NC_A,"leaf, petal, blade, sheet, foil",,,,,
hojo,{365121},hojo,n,NC_O,?,,,,,
homónima,{161869},homónima,nfs    ,NC_A,Adj,,,,,
homónimo,{103039},homónimo,nms    ,NC_O,homonym,,,,,
hoya,{123048},hoya,nfs    ,NC_A,"pit, grave",,,,1,
hoyo,{179098},hoyo,nms    ,NC_O,hole,,,,1,
huma,{270805},huma,n,NC_A,(chile) tamale,,,,1,V
humana,"{13074, 52215}",humano,nj,NC_O,human,1,,,,
humano,{90618},humano,nms    ,NC_O,human,1,,,,
humo,"{95123, 5243, 90324, 162215}",humo,nms    ,NC_O,"smoke, steam, fume",,,,1,V
ideóloga,{320211},ideólogo,nfs    ,NC_O,ideologist,1,,,,
ideólogo,{51415},ideólogo,nms    ,NC_O,ideologist,1,,,,
idola,{550180},idola,n,NC_A,female idol,1,,,,
idolo,"{159552, 58579, 251064}",ídolo,n,NC_O,idol,1,,,,
impedimenta,{175256},impedimenta,nfs    ,NC_A,?,,,,,
impedimento,{13946},impedimento,nms    ,NC_O,"obstacle, impediment",,,,,
inactiva,{146797},inactivo,n,NC_O,adj/V,1,,,,
inactivo,{147882},inactivo,n,NC_O,Inactive person,1,,,,
incentiva,{81828},incentivo,n,NC_O,V,,,,,
incentivo,"{79649, 15215}",incentivo,nms    ,NC_O,incentive,,,,,
incógnita,{22191},incógnita,nfs    ,NC_A,adj,,,,,
incógnito,{77618},incógnito,nms    ,NC_O,"mystery, unknown",,,,,
ingeniera,"{915177, 134939}",ingeniera,n,NC_A,Engineer,1,,,,
ingeniero,{5577},ingeniero,nms    ,NC_O,engineer,1,,,,
inodora,{215059},inodoro,n,NC_O,adj,,,,,
inodoro,{29518},inodoro,n,NC_O,toilet,,,,,Adj
interna,{217262},interna,n,NC_A,patient,1,,,,
internada,{57725},internada,nfs    ,NC_A,intern,1,,,,
internado,{20137},internado,nms    ,NC_O,intern; boarding school,1,,,,
